CATEGORY_Game,CATEGORY_Non Game,FREE,AD_SUPPORTED,INSTALLS_GROUP,PRICEBAND,SIZEBAND,IN_APP_PURCHASES,DAYS_SINCE_UPDATE_RANGE,REVIEW_COUNT,RATING_COUNT
1.0,0.0,1,0,0,0,2,1,0,565.0,5671
1.0,0.0,1,1,0,0,2,1,3,602.0,4679
0.0,1.0,0,0,0,1,2,0,3,8.0,37
0.0,1.0,1,0,0,0,1,1,5,599.0,1209
0.0,1.0,0,0,0,1,2,0,0,6.0,124
0.0,1.0,1,1,0,0,3,1,2,96.0,827
1.0,0.0,1,0,0,0,3,1,4,17.0,28
1.0,0.0,1,0,0,0,2,0,1,1680.0,8423
0.0,1.0,0,0,0,2,1,0,4,17.0,99
1.0,0.0,1,0,0,0,2,0,0,11.0,13
0.0,1.0,1,1,0,0,1,0,5,21.0,408
1.0,0.0,1,0,0,0,4,0,2,134.0,624
1.0,0.0,1,1,1,0,4,1,2,348.0,35095
0.0,1.0,1,0,0,0,0,1,2,12.0,241
0.0,1.0,1,0,0,0,2,1,2,3.0,87
1.0,0.0,1,1,0,0,2,1,5,217.0,1014
1.0,0.0,1,1,0,0,2,0,2,6.0,124
1.0,0.0,1,1,1,0,2,1,2,306.0,57111
0.0,1.0,1,1,0,0,1,0,4,3.0,396
0.0,1.0,1,1,0,0,2,0,3,71.0,492
0.0,1.0,1,1,0,0,2,0,3,5.0,18
1.0,0.0,0,0,0,3,2,1,2,61.0,16216
0.0,1.0,1,0,0,0,1,0,0,323.0,435
1.0,0.0,1,1,0,0,2,1,1,64.0,1680
0.0,1.0,1,0,0,0,1,1,4,24.0,151
0.0,1.0,0,0,0,1,1,0,5,6.0,37
0.0,1.0,1,0,0,0,2,1,2,1.0,112
0.0,1.0,0,0,0,1,1,0,4,2.0,7
0.0,1.0,1,0,0,0,1,1,2,57.0,12931
1.0,0.0,1,1,0,0,1,0,3,7.0,254
1.0,0.0,0,0,0,2,4,0,5,19.0,111
1.0,0.0,1,1,1,0,2,0,2,710.0,37687
1.0,0.0,1,1,0,0,3,1,2,0.0,1208
1.0,0.0,1,1,1,0,2,1,2,176.0,15406
1.0,0.0,0,0,0,1,1,0,5,8.0,98
0.0,1.0,1,1,0,0,2,1,5,46.0,676
1.0,0.0,1,1,1,0,4,1,2,1054.0,10502
1.0,0.0,1,1,1,0,4,1,4,126.0,24435
1.0,0.0,1,0,1,0,2,1,3,2645.0,31621
0.0,1.0,1,1,0,0,1,0,3,40.0,195
1.0,0.0,1,1,1,0,4,1,0,1541.0,41474
1.0,0.0,1,0,0,0,4,1,0,10.0,80
0.0,1.0,1,0,0,0,4,0,3,2062.0,5954
0.0,1.0,1,0,0,0,1,1,3,1569.0,3563
0.0,1.0,1,1,1,0,0,0,2,1614.0,73638
1.0,0.0,1,1,1,0,3,1,1,462.0,25840
1.0,0.0,0,0,0,1,2,1,4,143.0,1053
1.0,0.0,1,1,1,0,3,0,1,14.0,770
1.0,0.0,1,1,1,0,2,0,1,6.0,651
1.0,0.0,1,0,1,0,2,1,3,146.0,1621
0.0,1.0,1,1,0,0,1,1,1,35.0,122
1.0,0.0,1,1,1,0,4,0,0,194.0,33589
0.0,1.0,1,0,0,0,3,0,3,6.0,37
1.0,0.0,1,0,0,0,2,1,2,116.0,482
1.0,0.0,1,1,1,0,4,1,3,23.0,1398
0.0,1.0,1,0,0,0,3,0,1,35.0,223
0.0,1.0,1,1,0,0,0,0,1,16.0,71
1.0,0.0,0,0,0,3,4,1,2,18.0,90
0.0,1.0,0,0,0,1,2,0,3,7.0,14
1.0,0.0,1,1,1,0,2,0,2,875.0,82061
1.0,0.0,1,1,1,0,3,1,1,321.0,16286
0.0,1.0,1,1,0,0,0,1,3,16.0,2857
1.0,0.0,1,1,0,0,2,1,0,0.0,9
0.0,1.0,1,0,0,0,3,1,3,71.0,491
1.0,0.0,1,0,1,0,2,0,0,29.0,6805
0.0,1.0,1,1,0,0,1,0,4,4.0,72
1.0,0.0,1,1,0,0,2,0,3,31.0,667
0.0,1.0,1,0,0,0,2,1,2,1.0,318
1.0,0.0,1,1,0,0,3,0,0,329.0,1440
1.0,0.0,0,0,0,2,4,0,3,32.0,235
0.0,1.0,1,1,0,0,1,1,3,665.0,15517
1.0,0.0,1,0,0,0,3,1,3,116.0,14893
0.0,1.0,1,1,0,0,1,0,3,27.0,1855
0.0,1.0,0,0,0,3,3,0,5,20.0,44
0.0,1.0,1,0,0,0,2,0,3,103.0,320
1.0,0.0,1,0,0,0,4,1,0,6.0,1708
0.0,1.0,1,0,0,0,1,1,4,5.0,10
1.0,0.0,1,1,1,0,4,1,0,955.0,20370
1.0,0.0,1,0,0,0,2,0,0,39.0,649
1.0,0.0,1,1,1,0,2,1,2,226.0,78502
0.0,1.0,1,0,0,0,0,0,3,12.0,152
0.0,1.0,1,0,0,0,2,1,2,16.0,44
1.0,0.0,1,0,0,0,1,0,4,20.0,7032
1.0,0.0,1,1,0,0,2,0,2,91.0,2606
0.0,1.0,1,0,0,0,1,1,4,27.0,52
0.0,1.0,0,0,0,1,2,0,0,6.0,36
1.0,0.0,1,1,1,0,3,1,3,459.0,11983
1.0,0.0,1,0,0,0,3,1,2,1200.0,20315
1.0,0.0,1,1,1,0,2,1,0,82.0,1437
0.0,1.0,1,1,0,0,0,0,4,91.0,3301
0.0,1.0,1,1,0,0,1,1,1,85.0,132
